Star,SimbadName,Teff,logg,feh,class,is_host,age_gyr
HD208487,HD208487,6146,4.48,0.08,HMPH,True,0.07943282347242822
HD20852,HD20852,6813,4.76,-0.35,single,False,0.07079457843841373
HD208573,HD208573,4910,4.41,0.0,single,False,0.025118864315095822
HD208672,HD208672,5986,4.61,0.13,single,False,0.08912509381337495
HD20868,HD20868,4802,4.26,0.05,HMPH,True,0.008912509381337459
HD208704,HD208704,5826,4.38,-0.09,single,False,6.309573444801943
HD209100,HD209100,4754,4.45,-0.2,single,False,0.025118864315095822
HD209449,HD209449,5854,4.16,0.41,single,False,0.015848931924611172
HD209458,HD209458,6118,4.5,0.03,HMPH,True,0.07943282347242822
HD209566,HD209566,5500,4.38,0.12,single,False,8.91250938133744
HD209742,HD209742,5137,4.49,-0.16,single,False,14.125375446227611
HD21019,HD21019,5468,3.93,-0.45,single,False,15.848931924611108
HD210272,HD210272,5713,4.13,-0.22,single,False,0.01
HD210277,HD210277,5505,4.3,0.18,HMPH,True,11.220184543019654
HD210320,HD210320,5597,4.31,0.11,single,False,8.91250938133744
HD210329,HD210329,4965,4.4,-0.18,single,False,0.017782794100389226
HD210507,HD210507,4998,4.42,0.07,single,False,0.025118864315095822
HD210573,HD210573,4918,4.48,-0.07,single,False,19.952623149688826
HD210752,HD210752,5951,4.53,-0.58,single,False,3.981071705534969
HD210918,HD210918,5755,4.35,-0.09,single,False,7.943282347242854
HD210975,HD210975,4749,4.37,-0.43,single,False,0.012589254117941687
HD211038,HD211038,4989,3.68,-0.25,single,False,14.125375446227611
HD211188,HD211188,5053,4.41,-0.12,single,False,0.022387211385683375
HD211317,HD211317,5965,4.3,0.27,single,False,3.5481338923357604
HD21132,HD21132,6243,4.6,-0.37,single,False,0.03162277660168379
HD211369,HD211369,4984,4.44,0.04,single,False,0.028183829312644664
HD211415,HD211415,5850,4.39,-0.21,single,False,8.91250938133744
HD211534,HD211534,5032,4.43,-0.31,single,False,0.01995262314968879
HD211583,HD211583,4761,4.39,0.05,single,False,0.022387211385683375
HD21161,HD21161,5923,4.24,0.09,single,False,0.015848931924611172
HD212036,HD212036,5687,4.41,-0.01,single,False,7.079457843841373
HD21209A,HD21209A,4671,4.31,-0.41,single,False,0.01
HD212231,HD212231,5762,4.2,-0.3,single,False,14.125375446227611
HD212301,HD212301,6271,4.55,0.18,HMPH,True,0.2818382931264461
HD21251,HD21251,4920,4.41,-0.09,single,False,19.952623149688826
HD212563,HD212563,5018,4.52,-0.02,single,False,12.589254117941662
HD212580,HD212580,5155,4.44,-0.11,single,False,17.78279410038923
HD212708,HD212708,5681,4.35,0.27,single,False,6.309573444801943
HD212918,HD212918,5051,4.48,-0.21,single,False,19.952623149688826
HD213042,HD213042,4831,4.38,0.08,single,False,0.015848931924611172
HD213240,HD213240,5982,4.27,0.14,HMPH,True,0.01995262314968879
HD213575,HD213575,5671,4.18,-0.15,single,False,0.008912509381337459
HD213628,HD213628,5555,4.44,0.01,single,False,8.91250938133744
HD213852,HD213852,4943,4.24,0.15,single,False,0.008912509381337459
HD213941,HD213941,5532,4.41,-0.46,single,False,15.848931924611108
HD214094,HD214094,6288,4.28,-0.01,single,False,3.1622776601683795
HD21411,HD21411,5473,4.51,-0.26,HMPH,True,8.91250938133744
HD214383,HD214383,4876,4.47,-0.16,single,False,0.025118864315095822
HD214385,HD214385,5654,4.43,-0.34,single,False,11.220184543019654
HD214759,HD214759,5461,4.37,0.18,single,False,10.0
HD214867,HD214867,5807,4.66,0.01,single,False,0.03981071705534969
HD214954,HD214954,5738,4.48,0.14,single,False,1.584893192461111
HD214998,HD214998,4847,4.37,0.06,single,False,0.022387211385683375
