Star,SimbadName,Teff,logg,feh,class,is_host,age_gyr,rbirth_kpc
HD216008,HD216008,5773,4.38,-0.04,single,False,7.079457843841373,4.155689356001357
HD216770,HD216770,5424,4.38,0.24,HMPH,True,10.0,1.7833494652112423
HD216777,HD216777,5623,4.51,-0.38,single,False,7.079457843841373,7.192695886529654
HD217395,HD217395,5916,4.52,-0.13,single,False,1.7782794100389228,7.278270009664329
HD217786,HD217786,5966,4.35,-0.14,HMPH,True,5.011872336272715,5.540188549920227
HD217958,HD217958,5970,4.45,0.28,HMPH,True,0.1,3.839032287040766
HD218340,HD218340,5889,4.42,0.09,single,False,3.981071705534969,3.4743765254886076
HD218504,HD218504,5962,4.34,-0.55,single,False,11.220184543019654,7.661709433425538
HD218885,HD218885,5763,4.46,-0.28,single,False,7.943282347242854,6.115579081362417
HD219077,HD219077,5362,4.0,-0.13,HMPH,True,12.589254117941662,4.545862431658994
HD219249,HD219249,5482,4.5,-0.4,single,False,10.0,6.734638868103293
HD21977,HD21977,5930,4.45,0.1,single,False,2.238721138568338,4.109855904830274
HD220367,HD220367,6128,4.37,-0.21,single,False,5.011872336272715,6.24229490829763
HD220456,HD220456,5887,4.5,-0.02,single,False,0.15848931924611176,7.978525995700545
HD22049,HD22049,5153,4.53,-0.11,single,False,7.943282347242854,4.663472564013981
HD221420,HD221420,5847,4.03,0.33,HMPH,True,5.623413251903491,0.8124237462990491
HD221580,HD221580,5322,2.68,-1.13,single,False,0.5623413251903491,20.0
HD22177,HD22177,5666,4.26,0.2,single,False,7.943282347242854,2.0155136281011163
HD222422,HD222422,5475,4.46,-0.12,single,False,8.91250938133744,4.647892481317222
HD222582,HD222582,5779,4.37,-0.01,HMPH,True,7.079457843841373,3.887718194479066
HD222595,HD222595,5648,4.46,0.01,single,False,5.623413251903491,3.909479889581122
HD222669,HD222669,5894,4.46,0.05,single,False,2.238721138568338,4.710337531481851
HD22282,HD22282,5433,4.32,0.12,single,False,12.589254117941662,2.8169908702618702
HD223315,HD223315,5650,4.44,0.3,single,False,3.5481338923357604,1.3057417276926113
HD223854,HD223854,6080,4.08,-0.54,single,False,10.0,7.817733543869656
HD224063,HD224063,5591,4.27,0.14,single,False,10.0,2.556988387580142
HD224393,HD224393,5774,4.54,-0.38,single,False,3.5481338923357604,8.776136635304397
HD224685,HD224685,5504,4.47,-0.4,single,False,12.589254117941662,6.413043847809351
HD224817,HD224817,5894,4.36,-0.53,single,False,12.589254117941662,7.312056847455372
HD225297,HD225297,6181,4.55,-0.09,single,False,0.4466835921509635,8.44650777785414
HD22879,HD22879,5884,4.52,-0.82,single,False,8.91250938133744,10.347527983147128
HD22918,HD22918,4924,3.61,0.02,single,False,7.943282347242854,3.553038188984452
HD23030,HD23030,5951,4.37,0.2,single,False,2.5118864315095926,2.774788807217387
HD24085,HD24085,6065,4.47,0.17,LMPH,True,0.7943282347242822,4.431224273025853
HD25171,HD25171,6160,4.43,-0.11,HMPH,True,1.1220184543019653,7.741440697341825
HD25565,HD25565,5212,4.47,0.03,single,False,12.589254117941662,3.4393846370020302
HD25704,HD25704,5942,4.52,-0.83,single,False,7.943282347242854,10.813570552981757
HD26729,HD26729,5718,4.17,0.31,single,False,7.943282347242854,1.0759153083206918
HD26887,HD26887,6016,4.46,-0.35,single,False,3.5481338923357604,8.446560379750801
HD27063,HD27063,5767,4.44,0.05,single,False,5.011872336272715,3.634471083290829
HD27471,HD27471,5871,4.25,0.11,single,False,5.011872336272715,3.032665585212336
HD2768,HD2768,5548,4.4,-0.03,single,False,10.0,3.872174633422074
HD28185,HD28185,5667,4.42,0.21,HMPH,True,3.981071705534969,2.192209409167794
HD28471,HD28471,5745,4.37,-0.05,LMPH,True,7.943282347242854,4.150964398266666
HD28701,HD28701,5710,4.41,-0.32,single,False,11.220184543019654,5.97660394143835
HD28821,HD28821,5660,4.38,-0.12,single,False,8.91250938133744,4.647892481317222
HD290327,HD290327,5505,4.41,-0.14,HMPH,True,11.220184543019654,4.657825896452334
HD29137,HD29137,5768,4.28,0.3,single,False,6.309573444801943,1.0995240851345045
HD29263,HD29263,5780,4.35,0.03,single,False,7.943282347242854,3.467620161359899
HD29428,HD29428,5743,4.48,-0.06,single,False,2.8183829312644493,5.643320102561776
HD30306,HD30306,5529,4.32,0.17,single,False,10.0,2.3248966878132338
HD30669,HD30669,5400,4.37,0.13,HMPH,True,11.220184543019654,2.6796587743862945
HD31527,HD31527,5898,4.45,-0.17,LMPH,True,5.011872336272715,5.841091317641975
HD31532,HD31532,5896,4.07,-0.08,single,False,7.079457843841373,4.512984238031076
HD3220,HD3220,5846,4.51,-0.22,single,False,3.5481338923357604,7.01839671482008
HD3229,HD3229,6583,4.14,-0.09,single,False,2.238721138568338,6.3916861129498885
HD32724,HD32724,5818,4.26,-0.17,single,False,8.91250938133744,5.055009341875516
HD33473A,HD33473,5740,3.97,-0.13,single,False,7.943282347242854,4.83430858744239
HD33811,HD33811,5554,4.39,0.3,single,False,7.079457843841373,1.1186826923703395
HD33822,HD33822,5726,4.29,0.26,single,False,7.079457843841373,1.4759777740541375
HD34327,HD34327,5883,4.2,-0.06,single,False,7.943282347242854,4.236382409980871
HD34449,HD34449,5848,4.5,-0.09,single,False,1.1220184543019653,7.480511053316491
HD36051,HD36051,6118,4.63,-0.08,single,False,0.12589254117941714,8.887634674377978
HD36179,HD36179,5327,4.45,-0.08,single,False,12.589254117941662,4.200088129684447
HD36379,HD36379,6030,4.3,-0.17,single,False,5.011872336272715,5.841091317641975
HD37226,HD37226,6178,4.16,-0.12,single,False,3.981071705534969,5.718169178068576
HD37548,HD37548,5950,4.26,-0.04,single,False,7.079457843841373,4.155689356001357
HD37962,HD37962,5718,4.48,-0.2,single,False,7.079457843841373,5.584868950671595
HD37986,HD37986,5507,4.29,0.26,single,False,11.220184543019654,1.7272079580533921
HD38078,HD38078,5651,4.47,-0.29,single,False,8.91250938133744,6.032089637353045
HD3823,HD3823,6022,4.31,-0.28,single,False,7.943282347242854,6.115579081362417
HD38265,HD38265,5549,4.43,-0.14,single,False,8.91250938133744,4.810739237673566
HD38277,HD38277,5871,4.34,-0.07,single,False,6.309573444801943,4.544908094427188
HD38382,HD38382,6082,4.45,0.03,single,False,0.7943282347242822,6.305208749932696
HD38772,HD38772,6106,4.37,-0.23,single,False,5.623413251903491,6.232271938454151
HD38858,HD38858,5733,4.51,-0.22,single,False,3.981071705534969,6.786641881145812
HD38973,HD38973,6016,4.42,0.05,single,False,2.238721138568338,4.710337531481851
HD39091,HD39091,6003,4.42,0.09,HMPH,True,2.5118864315095926,4.070655823104707
HD39427,HD39427,5682,4.52,-0.18,single,False,4.466835921509653,6.145872849157537
HD3964,HD3964,5729,4.5,0.05,single,False,1.9952623149688828,4.878045377978795
HD40397,HD40397,5527,4.39,-0.13,single,False,11.220184543019654,4.5845604070521
HD40483,HD40483,6371,4.39,-0.06,single,False,0.5623413251903491,7.8494051368585955
HD40865,HD40865,5719,4.5,-0.38,single,False,5.011872336272715,7.9474105422341985
HD41087,HD41087,5562,4.52,-0.13,single,False,5.623413251903491,5.264441847483704
HD41248,HD41248,5713,4.49,-0.37,single,False,7.079457843841373,7.103372249211423
HD41323,HD41323,5756,4.56,-0.31,single,False,0.8912509381337477,10.69964892963446
HD4208,HD4208,5599,4.44,-0.28,HMPH,True,11.220184543019654,5.683542202185471
HD4307,HD4307,5812,4.1,-0.23,single,False,11.220184543019654,5.317214973532357
HD44120,HD44120,6052,4.25,0.12,single,False,3.1622776601683795,3.4217907155170204
HD44219,HD44219,5766,4.2,0.04,HMPH,True,10.0,3.330627367589636
HD44420,HD44420,5818,4.37,0.29,single,False,3.981071705534969,1.3374312785489728
HD44447,HD44447,5999,4.37,-0.22,single,False,7.079457843841373,5.763516358410775
HD44594,HD44594,5840,4.38,0.15,single,False,3.5481338923357604,2.9536230054605905
HD44804,HD44804,5366,4.48,0.03,single,False,8.91250938133744,3.4265420361388923
HD45184,HD45184,5869,4.47,0.04,LMPH,True,1.7782794100389228,5.167463986039751
HD45289,HD45289,5717,4.32,-0.02,single,False,10.0,3.7948107383031537
HD4597,HD4597,6025,4.43,-0.39,single,False,5.011872336272715,8.047711365168103
HD47186,HD47186,5675,4.36,0.23,HMPH,True,6.309573444801943,1.751353542925668
HD48115,HD48115,5825,4.48,-0.19,single,False,5.011872336272715,6.041693112969803
HD4838,HD4838,4704,4.63,-0.21,single,False,11.220184543019654,5.170683994731888
HD48611,HD48611,5337,4.51,-0.36,single,False,12.589254117941662,6.136424447449224
HD49035,HD49035,5640,4.35,0.24,single,False,7.079457843841373,1.6546251817933175
HD4915,HD4915,5658,4.52,-0.21,single,False,6.309573444801943,5.848566801873485
HD50806,HD50806,5633,4.11,0.03,single,False,11.220184543019654,3.412313245339276
HD51754,HD51754,5848,4.49,-0.55,single,False,7.079457843841373,8.711199318172202
HD5349,HD5349,5092,3.88,0.43,single,False,10.0,0.5
HD5388,HD5388,6311,4.24,-0.28,single,False,5.011872336272715,6.944401416135047
HD56274,HD56274,5734,4.51,-0.54,single,False,7.943282347242854,8.33644802234565
HD564,HD564,5902,4.53,-0.2,HMPH,True,1.1220184543019653,8.915624387067494
HD59468,HD59468,5618,4.39,0.03,single,False,10.0,3.4079912627085553
HD59711A,HD59711A,5722,4.46,-0.12,single,False,4.466835921509653,5.5239186301135765
HD59984,HD59984,5962,4.18,-0.69,single,False,12.589254117941662,8.418534861090992
HD61447,HD61447,5637,4.37,0.17,single,False,6.309573444801943,2.310064467101707
HD61902,HD61902,6209,4.38,-0.62,single,False,6.309573444801943,9.666424737490635
HD61986,HD61986,5725,4.48,-0.34,single,False,7.079457843841373,6.835401071051294
HD62128,HD62128,5828,4.22,0.33,single,False,6.309573444801943,0.8201686230464853
HD62364,HD62364,6255,4.47,-0.11,HMPH,True,0.31622776601683794,8.950182619581199
HD62849,HD62849,5338,3.59,-0.17,single,False,2.8183829312644493,6.912040562924018
HD63685,HD63685,5497,4.05,0.0,single,False,12.589254117941662,3.6468492259154166
HD63765,HD63765,5432,4.42,-0.16,HMPH,True,11.220184543019654,4.804356766078774
HD65907A,HD65907A,5945,4.52,-0.31,single,False,1.2589254117941662,10.158398565637299
HD65982,HD65982,5947,4.42,-0.1,single,False,3.1622776601683795,5.900959397772893
HD66039,HD66039,6149,4.52,0.17,single,False,0.6309573444801944,4.625901356951935
HD66221,HD66221,5635,4.4,0.17,single,False,5.623413251903491,2.3609518630081814
HD66428,HD66428,5705,4.31,0.25,HMPH,True,7.079457843841373,1.565301411372369
HD6718,HD6718,5723,4.44,-0.07,single,False,5.623413251903491,4.683743893853972
HD67458,HD67458,5891,4.53,-0.16,single,False,1.2589254117941662,8.221922610766358
